date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2021-02-13 | 2
2011-01-32 | 1
2015-11-23 | 1.2
2022-12-19 | 1
2012-01-11 |-1
2001-42-42
2012-01- 11 | 1
2012-12-3 | 2
201-01-11 | 21
2005-01-12 | 1.4
2012-13-11 | 212
2012-01-11 | we
2012-01-11 | 1
2012-01-11 | 2147483648
2012-02-31 | 3
2012-02-29 | 2

2013-02-29 | 4
2023-04-31 | 2
2021-O4-30 | 3
2021-03-22 |  
           | 2
2030-01-11 | 2
2022-  -11	| 2
2022-02-11		|	  
 2
| 2
| 
2022=02-01 | 2
2022-   02-01 |            3
2009-01-01 | 2


